model,precision,recall,f1,auc_pr,pearson,spearman
random,0.7593984962406015,0.45495495495495497,0.5690140845070423,0.790097152175142,-0.0407357160110502,-0.04090338232120262
sentence_length,1.0,0.018018018018018018,0.035398230088495575,0.8461326344837568,0.13063834418610187,0.1433220992033824
wiki_overlap,0.8283582089552238,0.5,0.6235955056179775,0.8302046395362894,0.16411759934364153,0.1229868252396527
sample_count,0.0,0.0,0.0,0.7985611510791367,0.0,0.0
